"--Please Select--","--בחר אפשרות--"
"API Login ID","קוד התחברות ל- API"
"Accepted Currency","מטבעות מאושרים"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","מספר CVV של הכרטיס"
"Card Verification Number Visual Reference","הפנייה ויזואלית של מספר אישור כרטיס"
"Close","סגור"
"Credit Card Information","מידע כרטיס אשראי"
"Credit Card Number","מספר כרטיס אשראי"
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Types","סוגי כרטיסי אשראי"
"Credit Card Verification","אישור כרטיס אשראי"
"Debug","אתר שגיאות"
"Email Customer","שלך דוא""ל ללקוח"
"Enabled","פעיל"
"Expiration Date","בתוקף עד"
"Gateway URL","צומת URL"
"Maximum Order Total","סה""כ מקסימלי להזמנה"
"Merchant MD5","סוחר MD5"
"Merchant's Email","דוא""ל של סוחר"
"Minimum Order Total","סה""כ מינימלי להזמנה"
"New Order Status","סטאטוס הזמנה חדשה"
"Order saving error: %s","שמירת הזמנה, שגיאה: %s"
"Payment Action","פעולת תשלום"
"Payment authorization error.","שגיאה בתהליך אישור תשלום."
"Payment authorization error. Transacion id is empty.","שגיאה בתהליך אישור תשלום. שדה מס' העברה ריק"
"Payment error. Order was not found.","שיגאה בתהליך תשלום. הזמנה לא נמצאה."
"Payment error. Paid amount doesn\'t match the order amount.","שיגאה בתהליך תשלום. סכום ששלום לא תואם את עלות ההזמנה"
"Payment from Applicable Countries","תשלום ממדינות ישימות"
"Payment from Specific Countries","תשלום ממדינות נבחרות"
"Please, choose payment method","אנא, בחר שיטת תשלום"
"Response hash validation failed. Transaction declined.",",תהליך אישור Response hash .ההעברה נדחתה."
"Sort Order","מיון לפי"
"Test Mode","מצב מבחן"
"The order has been created.","ההזמנה בוצעה בהצלחה"
"There was an error processing your order. Please contact us or try again later.","ארעה שגיאה בתהליך העיבוד של ההזמנה. אנא צור איתנו קשר או נסה שוב במועד מאוחר יותר"
"Title","כותרת"
"Transaction Key","מפתח העברה"
"What is this?","מה זה?"
"You will be required to enter your payment details before you place an order.","עליך להכניס פרטי תשלום לפני ביצוע הזמנה"
