"Cron (Scheduled Tasks) - all the times are in minutes","משימות מתוכננות (cron) – כל הזמנים בדקות"
"Daily","יומי"
"Failure History Lifetime","שגיאה באורך חיי ההיסטוריה"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","כדי שיווצרו כתובות URL תקינות במהלך הרצת cron ודאו כי האתר> מאובטח וכתובת URL בסיסיות מוגדרות כלא מאובטחות"
"Generate Schedules Every","צור תזמן כל"
"History Cleanup Every","מחיקה של היסטוריה כל"
"Invalid callback: %s::%s does not exist","קולבק (callback) לא תקין: %s::%s לא קיים"
"Invalid model/method definition, expecting ""model/class::method"".","  הגדרות שיטה/מודל לא תקין/, נדרש  ""model/class::method""."
"Missed if Not Run Within","פיספס אם לא רץ תוך כדי"
"Monthly","חודשי"
"No callbacks found","לא נמצאו קריאות קולבק (callbacks)"
"Schedule Ahead for","מתוזמן מראש ל"
"Success History Lifetime","הצלחה באורך חיי היסטוריה"
"Too late for the schedule.","מאוחר מדי עבור תזמן"
"Unable to save the cron expression.","שגיאה בתהליך שמירת ביטויי cron"
"Unknown error.","שגיאה בתהליך"
"Weekly","שבועי"
