"-- Please select --","-- בחר מהרשימה --"
"Allowed Currencies","מטבעות אפשריים לשימוש"
"Base Currency","מטבע בסיסי"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","מטבע בסיסי מוגדר לכל הפעולות המבוצעות בעסקאות המקוונות. Scope נקבע לפי ערך  scope בקטלוג  (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Cannot retrieve rate from %s.","לא ניתן לשחזר שיעור  %s."
"Connection Timeout in Seconds","סוף זמן חיבור בעוד"
"Continue &raquo;","המשך &laquo;"
"Country","ארץ"
"Country API","ממשק מדינה"
"Country and Format Type combination should be unique","שילוב של ארץ וסוג פורמט צריך להיות ייחודי"
"Currency","מטבע"
"Currency Options","מטבעות - אפשרויות"
"Currency Setup","ניהול מטבעות"
"Currency Update Warnings","אזהרות עדכון מטבע"
"Default Display Currency","תצוגת מטבע ברירת מחדל"
"Directory","ספרייה"
"Enabled","פעיל"
"Error Email Recipient","שגיאה באימייל הנמען"
"Error Email Sender","שגיאה באימייל השולח"
"Error Email Template","שגיאה בתבנית האימייל"
"FATAL ERROR:","שגיאה חמורה:"
"Frequency","תדירות"
"Installed Currencies","מטבעות מותקנים"
"Invalid Import Service specified.","צוין שירות ייבוא לא שגוי."
"Invalid country code: %s","קוד מדינה שגוי: %s"
"Invalid rates received","תעריפים שגויים התקבלו"
"Invalid target currency.","ממטבע יעד שגוי"
"List of countries","רשימת ארצות"
"List of regions in specified country","רשימת איזורים במדינה ספיצפית"
"Postal Code is Optional for the following countries","מיקוד הוא ערל לא חובה עבור המדינות הבאות"
"Region","אזור"
"Region API","ממשק ניהול אזור"
"Scheduled Import Settings","הגדרות ייבוא מתוזמנות"
"Select Your Currency","בחר מטבע שלך"
"Service","שירות"
"Start Time","שעת התחלה"
"State/Province","מדינה/מחוז"
"Strikeiron Email Update Warnings"," אזהרות עדכון דוא""ל Strikeiron "
"Unable to initialize the import model.","לא ניתן להתחיל במודול יבוא"
"Undefined rate from ""%s-%s"".","סוג שיעור לא מוכר ""%s-%s""."
"WARNING:","אזהרה:"
"Webservicex","Webservicex"
"Your current currency is: %s","המטבע הנוכחי שלך: %s"
