" in rows: ","בשורות:"
"-- Please Select --","-- בחר מהרשימה --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","המתאם חייב להיות דוגמא של Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","סוג המתאם חייב להיות שרשרת לא ריקה."
"Can not determine attribute filter type","לא ניתן לקבוע את סוג מסנן התכונות"
"Can not find required columns: ","לא ניתן למצוא את העמודות הנדרשות"
"Can not get autoincrement value","לא ניתן לקבל ערך autoincrement "
"Check Data","בדוק מידע"
"Column names has duplicates","שמות עמודות מכילות כפילויות"
"Column names is empty or is not an array","שם העמודה ריק או שאינו ערך תקין"
"Column names: ""%s"" are invalid","שמות העמודות: ""%s""  לא תקינות"
"Continue","המשך"
"Data is invalid or file is not uploaded","מידע לא תקין אט שהקובץ לא הועלה"
"Destination directory is not writable","לא ניתן לבצע שכתוב על ספריית היעד"
"Destination file is not writable","לא ניתן לבצע שכתוב על קובץ היעד"
"Destination file path must be a string","נתיב לקובץ היעד חייב להיות שרשת"
"Entity Attributes","תכונות יישות"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","מתאם יישות חייב להיות דוגמא של Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","יישות לא ידועה"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","סוג מודל יישות חייב להיות דוגמא של Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","סוג מודל יישות חייב להיות דוגמא של Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","שגיאה במבנה מידע: התנהגות מעורבת"
"Error in data structure: entity codes are mixed","שגיאה במבנה מידע: קודי יישות מעורבים"
"Export","ייצוא/ייצא"
"Export FAQ","ייצא שאלות ותשובות"
"FAQ","שאלות ותשובות"
"File does not contain data. Please upload another one","הקובץ אינו מכיל מידע. אנא העלה קובץ שונה."
"File format is unknown","פורמט הקובץ לא מוכר"
"File is partially valid, but import is not possible","הקובץ תקין חלקית, אך לא ניתן לבצע ייבוא"
"File is totally invalid. Please fix errors and re-upload file","הקובץ לחלוטין לא תקין. אנא , תקן את השגיאות והעלה קובץ מחדש"
"File is valid! To start import process press ""Import"" button","הקובץ תקין! כדי להתחיל תהליך ייבוא לחץ על ""ייבוא"""
"File is valid, but import is not possible","הקובץ תקין, אך לא ניתן לבצע ייבוא"
"Header column names already set","שמות עמודות כותר כבר הוגדרו"
"Import","ייבוא/ייבא"
"Import / Export FAQ (Frequently Asked Questions)","ייבוא /ייצוא של שאלות ותשובות  (FAQ)"
"Import FAQ","ייבוא שאלות ותשובות"
"Import successfully done.","ייבוא בוצע בהצלחה"
"Import/Export","ייבוא/ייצוא"
"In/Out","פנימה/החוצה"
"Input entity code is not equal to entity adapter code","קוד יישות שהוזן לא תואם את קוד יישות מתאם"
"Invalid entity","יישות לא תקינה"
"Invalid file format","פורמט קובץ לא תקין"
"Invalid parameters","פרמטרים לא תקינים"
"Invalid seek position","מיקום חיפוש לא תקין"
"Invalid value for '%s'","ערכים לא תקינים עבור '%s'"
"No filter data provided","לא סופק מסנן מידע"
"No source specified","לא צוין מקור"
"No valid data sent","לא נשלח מידע תקין"
"No writer specified","לא צוין כותב"
"Node does not has model token tag","Node לא מכיל תג מודל"
"Not implemented yet","לא בוצע עדיין"
"Please fix errors and re-upload file","אנא, תקן את השגיאות והעלה את הקובץ שנית"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","אנא, תקן את השגיאות והעלה את הקובץ שנית או לחץ על כפתור  ""ייבוא"" כדי לדלג על שורות על שגיאות"
"Some other FAQ","שאלות ותשובות נוספות"
"Source file moving failed","העברת קובץ מקור נכשלה"
"Source file path must be a string","נתיב קובץ מקור חייב להיות שרשרת"
"Source is not set","לא הוגדר מקוד"
"Status","מצב"
"System busy","מערכת עמוסה"
"There are no product types available for export","אין סוגי מוצרים שניתן לייצא"
"Total size of uploadable files must not exceed %s","גודל קבצים לטעינה לא יכול לעלות על %s"
"Uploaded file has no extension","אין הרחבות לקובץ שהועלה"
"Validation Results","תוצאות אימות"
