"%s Index process is working now. Please try run this process later.","%s תהליך אינדקס רץ עכשיו. נסה להריץ תהליך זה מאוחר יותר."
"%s index was rebuilt.","%s אינדקס נבנה מחדש."
"'%s' Index Process Information","%s' פרטי תהליך אינדקס"
"Action","פעולה"
"Cannot initialize the indexer process.","לא ניתן להתחיל תהליך אינדוקס"
"Change Index Mode","שנה מוד אינדקס"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","לחץ כאן כדי לעבור ל <a href=""%s"">Cache ניהול</a> ולרענן סוגי cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","לחץ כאן כדי לעבור ל <a href=""%s"">ניהול אינדקס</a>ולבנות מחדש אינדקסים נבחרים."
"Description","תיאור"
"Disable","כבה"
"Enable","אפשר"
"General","כללי"
"Index","אינדקס"
"Index Description","תאור אינדקס"
"Index Management","ניהול אינדקס"
"Index Mode","מוד אינדקס"
"Index Name","שם אינדקס"
"Index mode","מוד אינדקס"
"Indexer code is not defined.","לא הוגדר קוד אינדקס"
"Indexer model is not defined.","מודל אינדקס לא הוגדר"
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","מודל אינדקסר צריך לכלול Mage_Index_Model_Indexer_Abstract."
"Last Run","הרצה אחרונה"
"Manual Update","עדכון ידני"
"Mode","מוד"
"Never","לעולם לא"
"One or more of the Indexes are not up to date:","לפחות אינדקס אחד לא מעודכן"
"Pending Events","ארועים ממתינים"
"Please select Index(es)","אנא בחר אינדקס(ים)"
"Please select Indexes","אנא בחר אינדקסים"
"Process Information","פרטי תהליך"
"Processing","מעבד"
"Ready","מוכן"
"Refresh","רענן"
"Reindex Data","אנדקס מידע מחדש"
"Reindex Required","הכנסה מחדש לאינדקס נדרשת"
"Status","מצב"
"System","מערכת"
"The index has been saved.","האינדקס נשמר בהצלחה"
"There was a problem with reindexing process.","ארעה שגיאה בתהליך הכנסה לאינדקס"
"There was a problem with saving process.","ארעה שגיאה במהלך תהליך השמירה"
"Total of %d index(es) have changed index mode.","סה""כ %d אינדקס(ים) שינו את מוד האינדקס"
"Total of %d index(es) have reindexed data.","סה""כ of %d אינדקס(ים) מכילים מידע אינדקס משוחזר."
"Update on Save","עדכן בשמירה"
