"Abandoned Carts","עגלות נטושות"
"Abandoned carts","עגלות נטושות"
"Action","פעולה"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף ל wishlist"
"Any","כלשהו"
"Applied Coupon","ממש קופון"
"Applies to Any of the Specified Order Statuses","מימוש עבור כל סטאטוס הזמנה שצוין"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","האם אתה בטוח שאתה רוצה לרענן את הסטטיסטיקות? ביצועים עלולים להיפגע כתוצאה מפעולה זאת."
"Are you sure?","האם אתה בטוח?"
"Avg. Approved Rating","דירוג ממוצע מאושר"
"Avg. Rating","דירוג ממוצע"
"Bestsellers","רב-מכר"
"Bought from wishlists","נקנה מרשימת החלומות"
"CSV","CSV"
"Carts","עגלות"
"Compared Products Grid Template","תבנית grid מוצרים שהשוו"
"Compared Products List Template","תבנית רשימת מוצרים שהשוו"
"Coupons","קופונים"
"Coupons Usage Report","דוח שימוש בקופונים"
"Created At","נוצר ב-"
"Current Month Starts","חודש נוכחי מתחיל"
"Customer","לקוח"
"Customer Name","שם לקוח"
"Customer Tags","תגיות לקוח"
"Customers","קונים"
"Customers Report","דוח לקוחות"
"Customers Reviews","ביקורות קונים"
"Customers Tags","תגיות לקוחות"
"Customers by Number of Orders","לקוחות לפי כמות הזמנות"
"Customers by Orders Total","לקוחות לפי סה""כ הזמנות"
"Customers by number of orders","לקוחות ע""פ כמות הזמנות"
"Customers by orders total","לקוחות ע""פ ערך הזמנה"
"Customers that have wishlist: %s%","לקוחות עם רשימת חלומות: %s%"
"Dashboard","לוח בקרה"
"Day","יום"
"Default Recently Compared Products Count","ספירת ברירת מחדל של מוצרים שהשוו לאחרונה"
"Default Recently Viewed Products Count","ספירת ברירת מחדל של מוצרים שנצפו לאחרונה"
"Description","תיאור"
"Detail","פירוט/פרטים"
"Downloads","הורדות"
"Email","מייל"
"Empty Rows","שורות ריקות"
"Excel XML","Excel XML"
"Filter","מסנן"
"First Name","שם פרטי"
"From","מ"
"Guest","אורח"
"Hits","צפיות"
"ID","קוד/ת.ז/זיהוי"
"IP Address","כתובת IP"
"Index model name must be defined","מודול אינדקס חייב להיות מוגדר"
"Invalid date specified.","צוין תאריך לא תקין"
"Invoiced","נרשם בחשבונית"
"Items in Cart","פריטים בעגלת הקניות"
"Last Name","שם משפחה"
"Last Review","משוב אחרון"
"Link","קישור"
"List of Products Recently Compared and Removed from the Compare List by Visitor","רשימת מוצרים שהשוו והוסרו לאחרונה מרשימת ההשוואה של המבקר"
"List of Products Recently Viewed by Visitor","רשימות מוצרים שנצפו לאחרונה על ידי המבקר"
"Low Stock","מלאי נמוך"
"Low stock","מלאי נמוך"
"Match Period To","התאם תקופת זמן ל"
"Month","חודש"
"Most Viewed","נצפים ביותר"
"Name","שם"
"New Accounts","חשבונות חדשים"
"No","לא"
"No records found for this period.","לא נמצאו רשומות לתקופה זו."
"Number Added","כמות שהוספה"
"Number Fulfilled","כמות שהושגה/בוצעה/מולאה"
"Number Of Reviews","מספר סיקורים"
"Number Purchased","מספר רכישה"
"Number Viewed","כמות שנצפו"
"Number of Items","כמות פריטים"
"Number of New Accounts","כמות חשבונות חדשים"
"Number of Products to display","כמות מוצרים לתצוגה"
"Number of Reviews","מספר סיקורים"
"Number of Times Deleted","כמות פעמים שנמחק"
"Number of Total Tags","כמות כוללת של תגים"
"Number of Unique Tags","מספר תגים ייחודיים"
"Number of Views","מספר צפיות"
"Number of items bought from a wishlist: %s","כמות פריטים שנקנתה מרשימת החלומות: %s"
"Number of times wishlists have been shared (emailed): %s","כמות הפעמים שרשימת החלומות שותפה (באימייל): %s"
"Number of wishlist conversions: %s","כמות המרות של רשימת חלומות: %s"
"Number of wishlist referrals: %s","כמות התייחסיות לרשימת החלומות: %s"
"Number of wishlists: %s","כמות רשימות חלומות: %s"
"Order Status","סטטוס הזמנה"
"Order Taxes Report Grouped by Tax Rate","דו""ח מס הזמנות מקובצות לפי שיעור מס"
"Orders","הזמנות"
"Out of stock","אין במלאי"
"Period","תקופה"
"Poducts Report","דוח מוצרים"
"Popular Tags","תגים פופולריים"
"Popularity","פופולריות"
"Price","מחיר"
"Product Name","שם המוצר"
"Product Reviews","סיקורי מוצר"
"Product SKU","קוד/מק""ט מוצר"
"Product Tags","תגיות מוצר"
"Products","מוצרים"
"Products Ordered","מוצרים שהוזמנו"
"Products Report","דוח מוצרים"
"Products Reviews","סקירות מוצרים"
"Products Tags","תגיות מוצרים"
"Products in carts","מוצרים בעגלות"
"Purchases","רכישות"
"Quantity Ordered","כמות מוזמנת"
"Quantity of Items","כמות פריטים"
"Recently Compared","השוו לאחרונה"
"Recently Compared Products","מוצרים שהושוו לאחרונה"
"Recently Viewed","נצפו לאחרונה"
"Recently Viewed Products","מוצרים שנצפו לאחרונה"
"Recently Viewed/Compared Products","מוצרים שנצפו/הושוו לאחרונה"
"Refresh Lifetime Statistics","רענן סטטיסטיקות ארוכות טווח"
"Refresh Statistics","רענן סטטיסטיקות"
"Refresh Statistics for the Last Day","רענן סטטיסטיקות של היום האחרון"
"Refunds","החזרים"
"Report","דו""ח"
"Reports","דו""חות"
"Results","תוצאות"
"Revenue","פדיון"
"Review","סקירת מוצר"
"Reviews","סקירות/סיקורים"
"Reviews for %s","סקירות עבור %s"
"Sales","מכירות"
"Sales Report","דו""חות מכירות"
"Search Query","שאילתת חיפוש"
"Search Terms","מילות חיפוש"
"Select day of the month.","בחר יום בחודש"
"Shipping","משלוח"
"Shopping Cart","סל קניות"
"Show Actual Values","הצג ערכים אמיתיים"
"Show Report","הצג דו""ח"
"Show for Current","הראה עבור נוכחי"
"Specified","צוין"
"Statistics","סטטיסטיקות"
"Stock Qty","כמות מלאי"
"Submitted In","נרשם ב"
"Submitted On","נרשם ב"
"Subtotal","סך ביניים"
"Tag","תג"
"Tag ""%s"" details","פרטי תג ""%s"""
"Tag Detail","פרטי תג"
"Tag Name","שם תג"
"Tag Use","שימוש בתג"
"Tags Submitted by %s","תגים שהוזנו על ידי %s"
"Tags submitted to %s","תגים שהוזנו עבור %s"
"Tax","מע""מ"
"Title","כותרת"
"To","עבור/ל/עד"
"Total","סה""כ"
"Total Invoiced vs. Paid Report"," דו""ח סה""כ חיובים לעומת שולמו "
"Total Ordered Report","דו""ח סה""כ הזמנות"
"Total Refunded Report","דו""ח סה""כ החזרים"
"Total Shipped Report","דו""ח סה""כ משלוחים"
"Total Tags","סה""כ תגים"
"Total invoiced","סה""כ בחשבונית"
"Total refunded","סה""כ הוחזר"
"Updated At","עודכן ב"
"Viewed Products Grid Template","תבנית grid של מוצרים שנצפו"
"Viewed Products List Template","תבנית רשימה של מוצרים שנצפו"
"Visible In","גלוי ב"
"Wishlist Report","דוח רשימת החלומות"
"Wishlist vs. Regular Order","רשימת חלומות מול הזמנה רגילה"
"Wishlists","רשימות חלומות"
"Year","שנה"
"Year-To-Date Starts","שנים לתאריך מתחיל"
"Yes","כן"
"Your Recently Compared","השוואות אחרונות"
"Your Recently Viewed","מוצרים נצפים לאחרונה"
"undefined","לא מוגדר"
