"# of Uses","# שימושים"
"%s tag(s) have been accepted for moderation.","%s תג(ים) התקבלו עבור moderation."
"<strong>Tag Name:</strong> %s","<strong>שם תג:</strong> %s"
"Action","פעולה"
"Add New Tag","תג חדש"
"Add Tags","הוסף תגים"
"Add Your Tags:","הוסף תגים משלך:"
"Add to Cart","הוסף לסל"
"Add to Wishlist","הוסף ל wishlist"
"All Tags","כל התגים"
"Approved","מאושר"
"Are you sure you want to delete this tag?","האם למחוק את התגית?"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Are you sure?","האם אתה בטוח?"
"Back","חזור"
"Back to Tags List","חזור לרשימת התגיות"
"Base Popularity","פופלריות בסיסית"
"Block Information","בלוק - מידע"
"CSV","CSV"
"Catalog Product View","תצוגת מוצר קטלוג"
"Change status","שנה סטטוס"
"Click on a tag to view your corresponding products.","לחץ על תגית כדי לראות המוצרים הקשורים שלך"
"Country","ארץ"
"Customer My Account My Tags List","""רשימת התגיות שלי"" של חשבון הלקוח"
"Customer My Account Tag View","""צפיות בתגיות"" של חשבון הלקוח"
"Customer Since","לקוח מתאריך"
"Customers","קונים"
"Customers Submitted this Tag","הלקוח רשם את התג הזה"
"Customers Tagged '%s'","לקוחות סימנו עם תגית '%s'"
"Delete","מחק/מחיקה"
"Delete Tag","מחק תגית"
"Disabled","כבוי/לא פעיל"
"Edit Tag '%s'","ערוך תגית '%s'"
"Email","מייל"
"First Name","שם פרטי"
"General Information","מידע כללי"
"Grid","רשת"
"ID","קוד/ת.ז/זיהוי"
"Last Name","שם משפחה"
"List","רשימה"
"Manage Tags","נהל תגיות"
"My Recent Tags","תגיות אחרונות שלי"
"My Tags","תגיות שלי"
"Name","שם"
"New Tag","תגית חדשה"
"No matches found.","לא נמצאו התאמות."
"Other people marked this product with these tags:","אנשים אחרים נתנו למוצר הזה את התגים:"
"Pending","בהמתנה"
"Pending Tags","תגים ממתינים"
"Popular","פופלורי"
"Popular Tags","תגים פופולריים"
"Price","מחיר"
"Product Name","שם המוצר"
"Product SKU","קוד/מק""ט מוצר"
"Product Tags","תגיות מוצר"
"Products","מוצרים"
"Products Tagged by Administrators","מוצרים שתויגו על ידי מנהלים"
"Products Tagged by Customers","מוצרים שתויגו על ידי לקוחות"
"Products Tagged with '%s'","מוצרים מתוייגים עם '%s'"
"Products tagged with '%s'","מוצרים מתוייגים עם '%s'"
"Rebuild Tag aggregation data","שחזר נתוני צבירת תגיות"
"SKU","מק""ט"
"Save Tag","שמור תגית"
"Save and Continue Edit","שמור והמשך בעריכה"
"Status","מצב"
"Store View","מבט חנות"
"Tag","תג"
"Tag ""%s"" has already been added to the product.","תג ""%s"" כבר התווסף למוצר."
"Tag ""%s"" has been added to the product.","תג ""%s"" התווסף למוצר."
"Tag ""%s"" has been rejected by administrator.","תג ""%s"" נדחה על ידי בעל החנות."
"Tag Aggregation Data","פרטי צבירת תג"
"Tag Name","שם תג"
"Tagged Products List","רשימת מוצרים שתויגו"
"Tags","תגים"
"Tags List (All Available)","רשימת תגיות (כל האפשריים)"
"Tags List Before","רשימת תגיות לפני"
"Tags:","תגים:"
"Telephone","טלפון"
"The tag has been deleted.","התג נמחק"
"There are no tags available.","אין תגים אפשריים"
"Unable to find any products tagged with '%s' in the current store","לא נמצאו מוצרים עם תג  '%s' בחנות הנוכחית"
"Unable to remove tag. Please, try again later.","לא יכול להסיר תג. אנא נסה מאוחר יותר."
"Unable to save tag(s).","לא ניתן לשמור תג(ים)."
"Use spaces to separate tags. Use single quotes (') for phrases.","השתמש ברווחים בכדי להפריד את התגים. השתמש ב (') במשפטים"
"View All Tags","הצג כל התגים"
"View Customers","הצג לקוחות"
"View Products","הצג מוצרים"
"XML","XML"
"You have not tagged any products yet.","עדיים לא תייגת מוצרים"
"ZIP/Post Code","מיקוד/ת.ד."
