"%s","%s"
"-- Please Select --","-- בחר מהרשימה --"
"Actions","פעולות"
"Add Layout Update","הוסף עדכון פריסת עיצוב"
"Add New Widget Instance","הוסף אשף חדש"
"All","הכל"
"All Pages","כל הדפים"
"All Product Types","כל סוגי המוצרים"
"Anchor Categories","קטגוריות עוגן"
"Assign to Store Views","הקצאה לתצוגות חנות"
"Big Image","תמונה גדולה"
"Block Reference","חסום הפנייה"
"CMS","ניהול תוכן"
"Categories","קטגוריות"
"Choose...","בחר..."
"Close","סגור"
"Continue","המשך"
"Default Template","תבנית ברירת מחדל"
"Delete","מחק/מחיקה"
"Design Package/Theme","חבילת עיצוב/תבנית - נושא"
"Export to:","ייצא ל:"
"Frontend Properties","מאפייני חלק קדמי"
"Generic Pages","דפים גינריים"
"Images","תמונות"
"Insert Widget","הכנס אשף"
"Layout Updates","עדכון פריסת עיצוב"
"Manage Widget Instances","ניהול ערכאות אשף"
"New Instance","ערכאה חדש"
"New Widget Instance","ערכאת אשף חדש"
"Next page","דף הבא"
"Non-Anchor Categories","קטגוריות לא מעוגנות"
"Not Selected","לא נבחר"
"Page","עמוד/דף"
"Please Select Block Reference First","אנא, בחר מפנה בלוק ראשון"
"Previous page","דף קודם"
"Products","מוצרים"
"Remove Layout Update","הסר עדכון פריסת עיצוב"
"Save and Continue Edit","שמור והמשך לערוך"
"Select All","בחר הכל"
"Select Visible","בחר גלויים"
"Settings","הגדרות"
"Sort Order","סדר מיון"
"Sort Order of widget instances in the same block reference","סדר את סדר ערכאות האשפים בבלוק המפנה"
"Specific %s"," %s נבחר"
"Specified Page","דף נבחר"
"Template","תבנית"
"The information in this tab has been changed.","נעשה שינוי במידע בלשונית זו"
"The widget instance has been deleted.","ערכאת האשף נמחק"
"The widget instance has been saved.","ערכאת האשף נשמרה"
"This tab contains invalid data. Please solve the problem before saving.","לשונית זו מכילה מידע לא תקין. אנא פתור את הבעיה לפני השמירה."
"Thumbnail","תמונה מקדימה"
"Total %d records found","סה""כ %d רשומות נמצאי"
"Type","סוג"
"Unselect All","הסר הכל"
"Unselect Visible","הסר בחירה מגלויים"
"View","הצג"
"Widget","אשף"
"Widget ""%s""","אשף ""%s"""
"Widget ID","קוד ID של אשף"
"Widget Instance","ערכאת אשף"
"Widget Instance Title","כותרת ערכאת אשף"
"Widget Options","אפשרויות אשף"
"Widget Type","סוג אשף"
"Widget Type is not specified","לא נבחר סוג אשף"
"Widget instance is not full complete to create.","ערכאת אשף לא מלא מספיק בכדי ליצור בהצלחה"
"Widgets","תוספים"
"Wrong wigdet instance specified.","ערכאת אשף שגויה צוינה"
"items selected","פריטים נבחרים"
"of %s pages","מתוך %s עמודים"
"per page","לעמוד"
